ticket_text,true_label,pred_zero_shot,pred_top3
notification wireless devices upgrade cr medium wireless devices upgrade cr medium hi please announce users about window wireless best regards senior engineer cr medium has by hello summary software upgrade release has approved by please wait until completed starting kind regards ref msg,Administrative rights,Access,"['Access', 'Purchase', 'Administrative rights']"
direct reports list to be amended oracle reports amended hello please call best regards reports amended hi guys please help match correctly too reports find please attached please move he right attached these move thank,HR Support,Access,"['Access', 'Purchase', 'Administrative rights']"
adding new printer xerox on th floor printer floor hi tried add printer floor show printers add manually help required steps thanks director central,HR Support,Access,"['Access', 'Purchase', 'Internal Project']"
badge access to be removed badge removed dear please badge since he working anymore best regards,Access,Access,"['Access', 'Purchase', 'Administrative rights']"
system re hello please make injector device device pm hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,Purchase,Access,"['Access', 'Purchase', 'Hardware']"
new purchase po purchase po dear purchased has please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
check user accessibility user accessibility hello please log assign best regards senior engineer pm pm pm please pm pm super,Access,Access,"['Access', 'Administrative rights', 'Purchase']"
annual leave re annual leave hello please help absence record today hello please thanks great best regards analyst pm annual leave hi please help registering off annual leave today take due urgent personal matters allow ongoing absence records please advise,HR Support,Administrative rights,"['Administrative rights', 'Access', 'Purchase']"
change project manager role oracle change role hello dear please change pm role starting kind regards discipline lead,Miscellaneous,Access,"['Access', 'Administrative rights', 'Purchase']"
does laptop have hello tomorrow trip senior developer mobile,Hardware,Access,"['Access', 'Purchase', 'Miscellaneous']"
port opening port opening hello port machine packages provided subcontractors also also please add tunneling azure machines thanks design lead ext,Hardware,Access,"['Access', 'Purchase', 'Hardware']"
network access hello received workstation granted ad please help thanks,Hardware,Access,"['Access', 'Purchase', 'Hardware']"
new purchase po purchase po dear purchased please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
access card re card va se,Access,Access,"['Access', 'Purchase', 'Storage']"
undelivered mail returned to sender undelivered returned hi getting these undelivered messages instead actual complete messages issue side client regards pm undelivered returned host sorry inform more attached further assistance please please include problem report delete own text attached returned host cluster said sorry has blacklisted refer troubleshooting more information rcpt command,Hardware,Access,"['Access', 'Purchase', 'Storage']"
mailbox almost full mailbox almost hi mailbox almost kind thanks regards senior infrastructure engineer infrastructure upcoming holiday none id,Storage,Access,"['Access', 'Miscellaneous', 'Purchase']"
new purchase po purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
opportunity into pas known pipeline opportunity known pipeline hi please import bellow opportunity known pipeline opportunity id thanks officer,Internal Project,Purchase,"['Purchase', 'Internal Project', 'Administrative rights']"
shared folder on and access shared folder dear please assist creating shared folder well granting him folder thanks kind regards engineer,Storage,Access,"['Access', 'Purchase', 'Storage']"
submit your time cards for approval please action submit cards hi keep getting reminders regarding complete left left october neither cannot kind enough update records please under code days then kindly both update record thanks head please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support,Access,"['Access', 'Storage', 'Administrative rights']"
submit your time cards for approval notification please action submit cards hi queried these alerts told ignore transition resolved by arriving believe these date formally moved refer timecards over old continue ignore these alerts switched off somehow think queried nearly four months ago alerts come every cheers editorial consultant please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support,Storage,"['Storage', 'Purchase', 'Access']"
new purchase po purchase po dear purchased matte display please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
need new hi guys please details hosted building hyper infrastructure location mandatory since client accept his other than machine operating newer purposes cpu disk worry about partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,Hardware,Access,"['Access', 'Miscellaneous', 'Purchase']"
new starter account republic of macedonia kale building starter form induction hi please assist completion attached return form empty part thank officer,HR Support,Access,"['Access', 'Internal Project', 'Administrative rights']"
clone self service dashboard clone self dashboard hello writing ask help cloning self widget report snow profile onto profile reason requesting uses these reports monitor tickets logged self best interest report available within consider needs also added each member profile sd specialists please liaise please note by snow kind regards engineer mobile,Miscellaneous,Access,"['Access', 'Purchase', 'Administrative rights']"
wants to access requesting it hardware equipment wants requesting hardware equipment monitor accept decline requests,Storage,Access,"['Access', 'Hardware', 'Purchase']"
we need new groups for our testing crazy groups testing add users needed owner these groups users members port test sitting dancing hammer muffin crazy thank,Miscellaneous,Purchase,"['Purchase', 'Access', 'Miscellaneous']"
milestone licensing service re milestone licensing agreed well then please assist please log queue thank re milestone licensing hi seems sensible idea generally problem restricted given addresses say vendor sites licensing makes device updates easier cheers milestone licensing hi milestone needs license revalidated camera modified far exported license file supplier then validates sends file back import objects communicate presuming validation runs same documentation specify,Access,Purchase,"['Purchase', 'Access', 'Miscellaneous']"
remove from re hi part sector owners right how name added part sector please owners thank kind regards,Miscellaneous,Purchase,"['Purchase', 'Internal Project', 'Access']"
assign new access card re lost card hello va ii alt card se la,Access,Access,"['Access', 'Miscellaneous', 'Purchase']"
new purchase po purchase po dear purchased received items date february mobile subscription updated include device under user name link please add allocation device thanks kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
leaver service now leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,HR Support,Storage,"['Storage', 'Purchase', 'Access']"
monitoring shared mailbox monitoring shared mailbox hello please creation shared mailbox named monitoring members let further details required lead,Storage,Access,"['Access', 'Purchase', 'Storage']"
new purchase po purchase po dear purchased monitor please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
new delivery hello received po please advise log kind regards engineer ext,Purchase,Access,"['Access', 'Purchase', 'Administrative rights']"
add to network hello please add thank,Miscellaneous,Access,"['Access', 'Purchase', 'Miscellaneous']"
job title job title hi note title treasury while please ask thanks mobility officer,HR Support,Access,"['Access', 'Storage', 'Administrative rights']"
password reset hi cannot please best regards specialist retention rotterdam tuesday thursday friday hi changed work please best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action relation contents information strictly prohibited unlawful neither nor represented liable complete transmission contents timely receipt institutional registered under,Access,Access,"['Access', 'Purchase', 'Storage']"
bit bucket account bit bucket hello bit bucket thank,Access,Access,"['Access', 'Storage', 'Purchase']"
new delivery hello received today po black cooler notebook please advise please log receiving goods thanks technician,Purchase,Access,"['Access', 'Purchase', 'Miscellaneous']"
access to dear please permission link bit bucket accumulations browse thanks tester,HR Support,Access,"['Access', 'Storage', 'Purchase']"
cc and expenditure types guide expenditure types guide hi please find attached latest expenditure types guide please kindly share other colleagues whom hand type please touch teams thank best regards,Hardware,Access,"['Access', 'Purchase', 'Storage']"
reset time card card hi guys please card period thank application engineer,HR Support,Access,"['Access', 'Administrative rights', 'Purchase']"
storage access storage hello please storage order setup environment regards engineer mob,Storage,Access,"['Access', 'Storage', 'Purchase']"
access for review contract setup re review contract setup hi please assign thank engineer review contract setup dear kindly ask give report review contract setup add report column which shows creator created by each contract background contracts setup prod needs overview contracts created prod persons created these contracts prod billing important has setup contracts going friday tried extract information name person has created contract find updated by column persons information kindly well about other members report picture think helpful call matter thank help great analyst,Miscellaneous,Access,"['Access', 'Administrative rights', 'HR Support']"
new purchase po purchase po dear purchased requested by type cable micro mini adaptor mini female adaptor male female please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
report for report hi please inform mentioned user forbidden well cracks please cracked best regards monitoring analyst,Access,Purchase,"['Purchase', 'Access', 'Miscellaneous']"
access to folders folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,Storage,Access,"['Access', 'Storage', 'Purchase']"
de password change wants hi change which until forced by change via has procedure changed recently regards accept decline requests,Access,Access,"['Access', 'Storage', 'Purchase']"
monitor add install new monitor monitor hello dear had monitor discussed he told leave tower give thank,Hardware,Access,"['Access', 'Purchase', 'Hardware']"
please cancel incidents as they are duplicates please cancel incidents duplicates hello please incidents cancel highlighted best regards senior engineer ext zone,Miscellaneous,Purchase,"['Purchase', 'Access', 'Miscellaneous']"
revise access to location revise location hello please revise location users left please find attached also clear additional users contributors role collection attached additional contributors picture view please regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has,Access,Access,"['Access', 'Purchase', 'Miscellaneous']"
set up com com as exception for all complaint regarding resolution hello please approved by moderator please close complaint off thanks re complaint regarding resolution please proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback how move hello please informed checked has moderator means each has approved by moderator he has out automatic informs delay flow process please let further information assistance needed kind regards analyst allow offer bit context while back were entire lists which caused corrective action limitations were members groups allowed lists were expand said directly personal instead corrective action moderators were lists under moderated means expanded once wait moderator approve users groups added exceptions said lists permissions thus bypass moderator altogether solution recommend ask make every location order surveys out immediately reaching wait moderator approve course subject thank,Miscellaneous,Access,"['Access', 'Purchase', 'Administrative rights']"
quarantine you have new dear re automatic seal tag machine pm kb re automatic seal tag machine kb deleted automatically after days change frequency these within log default locale,Miscellaneous,Access,"['Access', 'Storage', 'Purchase']"
transfer license from one user to another transfer license user hello left going please transfer his license replaced role best regards senior engineer,Access,Purchase,"['Purchase', 'Access', 'Administrative rights']"
all staff outlook hello please make cancel moved offices starting today relocated attached part thanks lovely,Administrative rights,Internal Project,"['Internal Project', 'Administrative rights', 'Access']"
vs professional subscription support vs professional subscription hello work tech stack assistance vs professional subscription objective activate azure benefit hands azure event representatives st without azure unable perform azure work during event issue sequence steps visual studio license status manage visual studio profile benefits azure error appears benefit azure subscription each subscription entitled corresponding free azure subscription subscription personal created user defined personal cannot azure instead azure work same please advise thank,Access,Purchase,"['Purchase', 'Access', 'Administrative rights']"
transfer request access to win cl tuesday pm re transfer form hello please find attached transfer form please note update document required cost centre id section wrong indirect cost centre decision link working hardware pc telephony section link catalogue working text please puma additional items required updated provided possible job started remain available other details needed kind regards officer wednesday re transfer form si la tuesday transfer form hi please fill enclosed form transfer thanks administration officer,HR Support,Access,"['Access', 'Hardware', 'Administrative rights']"
install module new router re critical peer session down hello about module replacement after everything mounted back powered thank engineer friday re critical peer session down shipping replacement router arrive unfortunately hardware known faulty problem module called inside router needs moved dead router router feel comfortable steps module dead router install let figure out visit site handle installation run router without part good install rack re rack again thanks motherboard step turn off electrical router leave cable plugged channel voltages ground step router cover step locate motherboard figure figure location content renditions screws connector standoffs step loosen screws step lift motherboard step static bag step replace cover install motherboard series install step warnings section disconnect replace module step turn off electrical router leave cable plugged channel voltages ground step cover step identify slot router main motherboard step locate standoffs motherboard figure step insert slot board note ensure press firmly until board seats onto connector step insert screws accessory standoffs tighten screws screwdriver torque nm step installed correctly board step replace cover friday re critical peer session down hello about questions bellow friday pm replace router right away thank friday re critical peer session down connected router via console working possible replace questions replacement blvd floor district person whose name shipment accept shipment dates times once shipment has arrived physically replace router right away feel comfortable doing work thanks friday re critical peer session down hello somebody charge pulled out both cords router re inserted stat led colour thank friday re critical peer session down number call were given number answered call please call work thanks friday re critical peer session down thanks phone number where call watch console output while tries boot ask pull both cords out then re insert vice president infrastructure networking two greenwich plaza greenwich ct friday re critical peer session down hello physical seems router signs picture attached back router stat led red colour picture attached tried restart nothing changed link led off additional details please let provide thank engineer friday re critical peer session down hi per monitoring primary router lost please physical along thanks regards infrastructure networking working pm friday re critical peer session down hi unable thanks regards infrastructure networking working pm friday re critical peer session down hi circuit went down sh sh summary router identifier number table version main routing table version entries bytes memory path entries bytes memory path attribute entries bytes memory path entries bytes memory community entries bytes memory route map entries bytes memory filter entries bytes memory total bytes memory received paths soft reconfiguration activity prefixes paths interval secs neighbor down idle thanks regards infrastructure networking working pm friday critical peer session down ca spectrum alarm details vt ca spectrum alarm id probable affected device details device name name description router branch location device type interface description probable cause peer session down symptoms session peer has established established probable causes communication peer has interrupted peer has peer down recommended actions status peer event session peer dynamic bb has gone established idle event ca spectrum console ca console disclaimer contain confidential privileged information intended recipient received error please notify immediately destroy delete hereby notified unauthorized copying disclosure material strictly prohibited communication informational purposes intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change without notice comments statements made communication necessarily reflect affiliates,Hardware,Purchase,"['Purchase', 'Hardware', 'Miscellaneous']"
web hello please order decommission best regards engineer friday re hi decommission best regards test consultant logo logo pm re hello performing determine unused requested deploy please let running decommission looking forward best regards engineer,Hardware,Purchase,"['Purchase', 'Access', 'Miscellaneous']"
transfer request oracle pas same rights level please replicate buyer reports please make she programme report,Internal Project,Purchase,"['Purchase', 'Administrative rights', 'Access']"
extend mailbox size extend mailbox size hi please extend mailbox size almost mb free please informed deleted unwanted mails large ones also thank kind regards ledger accountant,Storage,Access,"['Access', 'Purchase', 'Administrative rights']"
new card card hi guys please que activate card worker paint wall morning best regards engineer ext,Access,Access,"['Access', 'Purchase', 'Administrative rights']"
please schedule for monday the morning the below post version upgrade please schedule morning post version upgrade hello upgrade dynamics has successfully completed please schedule morning post version upgrade best regards senior engineer friday re create snapshot production importance high dear please users attached templates please include he product owner app let questions,Administrative rights,Purchase,"['Purchase', 'Miscellaneous', 'HR Support']"
perform re indexing on prod every monday time perform re indexing prod every,HR Support,Purchase,"['Purchase', 'Access', 'Storage']"
wants to access principles wants principles principles document thank accept decline requests,Storage,Access,"['Access', 'Purchase', 'Internal Project']"
time sheets sheets hi please entries thank,HR Support,Access,"['Access', 'Purchase', 'HR Support']"
addresses devices re addresses devices hi mobile devices belong testing added perform tests part daily work please add thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions thursday pm addresses devices device name kind regards tester information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,Access,Purchase,"['Purchase', 'Access', 'Storage']"
retrieval new purchase po purchase po dear purchased has please log allocation please log retrieve old device kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
new starter tower starter discipline dear please informed candidate accepted job offer become within discipline february please create her credentials per attached form thank best regards specialist,HR Support,Purchase,"['Purchase', 'Access', 'Storage']"
licence licence hello please let tool cost install pc want investigate include invoice commercial client regards discipline lead,Access,Purchase,"['Purchase', 'Access', 'Administrative rights']"
export gal export gal hi guys please export gal tried doing myself returns empty rows table thank,HR Support,Access,"['Access', 'Purchase', 'Internal Project']"
visual studio visual studio hello dear requires license visual studio possibility provide regards engineer mob,Access,Access,"['Access', 'Purchase', 'Administrative rights']"
additional monitor re additional monitor hello kindly asking log assign provide monitor please update relevant information after assisting thank kind regards administrator friday pm additional monitor hello please provide additional monitor relocated tower thank regards engineer mob,Hardware,Administrative rights,"['Administrative rights', 'Access', 'Purchase']"
new version of the for for version hi discussed installed slave download confirmation id thank senior engineer,Administrative rights,Purchase,"['Purchase', 'Access', 'Storage']"
new purchase po hello received ex po please advise log kind regards engineer ext,Purchase,Purchase,"['Purchase', 'Access', 'Administrative rights']"
access to upload and modify documents on upload modify hi give write accumulations order add upload modify documentation please thank planned annual leave,HR Support,Access,"['Access', 'Storage', 'Purchase']"
admin account access level level hi needed privileges work example even cannot registries modify certain files please same privileges colleagues example certainty thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,Access,Access,"['Access', 'Administrative rights', 'Purchase']"
access password reset hi germany he tried himself site reports his details he needs administrator please advise possible since he member client side best regards lead,Access,Access,"['Access', 'Administrative rights', 'Purchase']"
new purchase po purchase po dear purchased monitor inch wide type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
old access old hi please old breakdown thank officer,HR Support,Access,"['Access', 'Administrative rights', 'Miscellaneous']"
new purchase po purchase po dear purchased keyboards wired headphones please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
laptop stand request stand hi kindly ask stand appreciate speed procedure since experiencing serous neck discomfort pain due thank best regards lead,Hardware,Access,"['Access', 'Purchase', 'Internal Project']"
need a monitor monitor hello dear moved location tower monitor connect location floor relax area kind discipline lead,Hardware,Access,"['Access', 'Purchase', 'Hardware']"
new purchase po purchase po dear purchased galaxy shock proof rugged cover please log allocation kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Hardware']"
new purchase po purchase po dear purchased monitor inch please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase,Purchase,"['Purchase', 'Administrative rights', 'Access']"
access hi connect failure colleague successfully connected guess user needs more rights configuration please thanks great application engineer,Hardware,Access,"['Access', 'Miscellaneous', 'Purchase']"
domain admin account hi reactivated work velocity please advise process approvals required regards infrastructure consultant,Access,Administrative rights,"['Administrative rights', 'Access', 'Purchase']"
new delivery bucharest hello received lite order id invoice please advise please log receiving shipment kind regards engineer ext,Purchase,Access,"['Access', 'Purchase', 'Administrative rights']"
needed for new customer project needed dear please help setting excel attached please let more information needed addition near future also accounts client well cheers,Internal Project,Access,"['Access', 'Purchase', 'Hardware']"
change job titles for and change job titles dear please change job titles engineer engineer thank,Miscellaneous,Purchase,"['Purchase', 'Access', 'Internal Project']"
notification maintenance hi environment mode weekend duration during period won accessible please communication users client heads client infrastructure please find attached completed form additional information please hesitate thank analyst,Hardware,Access,"['Access', 'Purchase', 'Administrative rights']"
manage access list re manage hi also additional comments visible please owner he taking over role thanks client,Miscellaneous,Access,"['Access', 'Purchase', 'Administrative rights']"
video component decommissioning physical equipment video component decommissioning hi guys requested decommissioning video component kindly update documentation meantime log physical equipment specifically information back thank,Purchase,Access,"['Access', 'Purchase', 'Hardware']"
new service configuration service now periscope support configuration periscope hello working component called periscope test environments configured infrastructure provide infrastructure monitoring please based attached document added document created please also add front name avoid confusion thank let additional details regards,Access,Purchase,"['Purchase', 'Access', 'Internal Project']"
audio and video calls all conference rooms re audio video calls rooms dear please kind schedule meeting video capable rooms quickly demonstrate features addition user guide available knowledge base useful trio guide please log assign queue kind regards engineer ext audio video calls rooms hi availability video calls rooms please everything working then show how audio video source dial monitor camera same thanks mob,Hardware,Access,"['Access', 'Purchase', 'Administrative rights']"
carrier change request carrier change dear please changing confirmed thank,Miscellaneous,Purchase,"['Purchase', 'Access', 'Storage']"
changing of default mobile phone number for forwarding calls from for changing default mobile phone number forwarding calls hi please change mobile phone forward calls mobile phone instead forwarded work mobile phone which thank regards senior infrastructure engineer infrastructure upcoming holiday none id,Hardware,Access,"['Access', 'Purchase', 'Internal Project']"
project population population hi please assign based export importing application thank engineer,Internal Project,Purchase,"['Purchase', 'Access', 'Administrative rights']"
reminder for leaver reminder leaver hi please assign best regards analyst friday pm re reminder leaver hi please kind leaver form further help needed let thank friday reminder leaver hi received believe please advise thanks friday reminder leaver dear please submit leaver form found messages requests note mailbox receive messages,HR Support,Access,"['Access', 'Administrative rights', 'Purchase']"
change for re update has assigned queue hello please change dear please assign thank engineer,Miscellaneous,Access,"['Access', 'Administrative rights', 'Purchase']"
close all the projects annual leave codes has assigned hi please close best regards analyst friday pm re annual leave codes has assigned hi reason believe added codes looking approve saw timecard error looking annual leave codes active selected image form prod today where has doubled his timecard annual leave requested absence inserted code thursday pm re annual leave codes has assigned hi annual leave were closed visible cards anymore best regards analyst thursday pm re annual leave codes has assigned hello closed thank wednesday pm re annual leave codes has assigned hi annual leave closed countries except created after went has date future by close well best regards analyst wednesday re annual leave codes has assigned hi please close codes were closed after then again after made corrections timecards opened again absences closed thank tuesday pm re annual leave codes has assigned hi far nothing done past cards these codes yet facing issues regarding lot close cases deal old cards close date best regards analyst tuesday pm annual leave codes has assigned please advised record number has assigned please review details take appropriate action description annual leave codes hi please best regards analyst tuesday pm annual leave codes hello work done timecards annual leave codes active logged done background work done think close back thank officer summary annual leave codes number priority moderate assignment location center please link attachments image image image image kind regards ref msg,HR Support,Access,"['Access', 'Purchase', 'Storage']"
new starter february dear colleagues going february starts starts starts starts forms attached great,HR Support,Purchase,"['Purchase', 'Access', 'Internal Project']"
maternity leaver form maternity leaver form hello please fill maternity leaver form today her maternity leave,HR Support,Access,"['Access', 'Purchase', 'Internal Project']"
update access cards access update bun reg si update ave interval interval interval,Access,Access,"['Access', 'Administrative rights', 'Purchase']"
upload rights and edit to a one location pm practice upload rights location pm hello please location pm area disciplines libraries pm disc cross sessions view ca ribbon thank,Storage,Access,"['Access', 'Miscellaneous', 'Storage']"
creative services for titles creative titles hello update job titles senior designer senior designer designer visual designer visual designer designer senior visual designer visual designer visual designer visual designer head creative moment analyst analyst since split off discipline creating confusion calls thank head creative,Access,Access,"['Access', 'Purchase', 'Internal Project']"
for permanent conference permanent hi way setup meeting permanent id client dedicated myself thanks ex regards,Access,Access,"['Access', 'Purchase', 'Internal Project']"
